exp_id,Transfer,Type,ID,Well,Abundance
pair-random_isolates-leakage0-specialist0-1,0,consumer,110,W0,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,136,W0,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,20,W1,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,121,W1,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,21,W2,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,74,W2,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,11,W3,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,107,W3,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,57,W4,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,91,W4,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,67,W5,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,87,W5,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,28,W6,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,125,W6,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,49,W7,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,52,W7,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,66,W8,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,105,W8,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,59,W9,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,88,W9,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,98,W10,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,120,W10,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,24,W11,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,68,W11,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,33,W12,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,93,W12,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,64,W13,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,83,W13,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,3,W14,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,43,W14,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,82,W15,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,100,W15,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,85,W16,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,143,W16,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,51,W17,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,83,W17,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,1,W18,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,89,W18,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,23,W19,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,115,W19,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,68,W20,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,105,W20,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,24,W21,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,80,W21,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,15,W22,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,126,W22,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,100,W23,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,121,W23,0.5
pair-random_isolates-leakage0-specialist0-1,0,consumer,23,W24,0.5
