Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Time,Isolate1CFUFreq
C1R2,1,2,5,95,Isolate1CFUFreqT0,0.0396907216494846
C1R2,1,2,50,50,Isolate1CFUFreqT0,0.439867708959712
C1R2,1,2,95,5,Isolate1CFUFreqT0,0.937188132164531
C1R2,1,3,5,95,Isolate1CFUFreqT0,0.0707343807088053
C1R2,1,3,50,50,Isolate1CFUFreqT0,0.591211546497798
C1R2,1,3,95,5,Isolate1CFUFreqT0,0.964886170668066
C1R2,1,4,5,95,Isolate1CFUFreqT0,0.0955595949104129
C1R2,1,4,50,50,Isolate1CFUFreqT0,0.667494033412888
C1R2,1,4,95,5,Isolate1CFUFreqT0,0.974451885484593
C1R2,2,3,5,95,Isolate1CFUFreqT0,0.0883649858109583
C1R2,2,3,50,50,Isolate1CFUFreqT0,0.648094780659622
C1R2,2,3,95,5,Isolate1CFUFreqT0,0.972215901908735
C1R2,2,4,5,95,Isolate1CFUFreqT0,0.118588261667577
C1R2,2,4,50,50,Isolate1CFUFreqT0,0.718811040339703
C1R2,2,4,95,5,Isolate1CFUFreqT0,0.979826597695687
C1R2,3,4,5,95,Isolate1CFUFreqT0,0.0680813356083674
C1R2,3,4,50,50,Isolate1CFUFreqT0,0.581247484909457
C1R2,3,4,95,5,Isolate1CFUFreqT0,0.96346746617423
C1R4,1,2,5,95,Isolate1CFUFreqT0,0.0886271516076848
C1R4,1,2,50,50,Isolate1CFUFreqT0,0.648835662009314
C1R4,1,2,95,5,Isolate1CFUFreqT0,0.972303558871992
C1R4,1,3,5,95,Isolate1CFUFreqT0,
C1R4,1,3,50,50,Isolate1CFUFreqT0,
C1R4,1,3,95,5,Isolate1CFUFreqT0,
C1R4,1,4,5,95,Isolate1CFUFreqT0,0.0254274441034634
C1R4,1,4,50,50,Isolate1CFUFreqT0,0.331428571428571
C1R4,1,4,95,5,Isolate1CFUFreqT0,0.904019688269073
C1R4,1,5,5,95,Isolate1CFUFreqT0,0.0364233294708382
C1R4,1,5,50,50,Isolate1CFUFreqT0,0.417996453900709
C1R4,1,5,95,5,Isolate1CFUFreqT0,0.931721268850754
C1R4,2,3,5,95,Isolate1CFUFreqT0,
C1R4,2,3,50,50,Isolate1CFUFreqT0,
C1R4,2,3,95,5,Isolate1CFUFreqT0,
C1R4,2,4,5,95,Isolate1CFUFreqT0,0.0139243350639214
C1R4,2,4,50,50,Isolate1CFUFreqT0,0.211541916705595
C1R4,2,4,95,5,Isolate1CFUFreqT0,0.836002840165926
C1R4,2,5,5,95,Isolate1CFUFreqT0,0.020048127067019
C1R4,2,5,50,50,Isolate1CFUFreqT0,0.279905834874727
C1R4,2,5,95,5,Isolate1CFUFreqT0,0.880745646035344
C1R4,3,4,5,95,Isolate1CFUFreqT0,
C1R4,3,4,50,50,Isolate1CFUFreqT0,
C1R4,3,4,95,5,Isolate1CFUFreqT0,
C1R4,3,5,5,95,Isolate1CFUFreqT0,
C1R4,3,5,50,50,Isolate1CFUFreqT0,
C1R4,3,5,95,5,Isolate1CFUFreqT0,
C1R4,4,5,5,95,Isolate1CFUFreqT0,0.0708495771731962
C1R4,4,5,50,50,Isolate1CFUFreqT0,0.591634715928895
C1R4,4,5,95,5,Isolate1CFUFreqT0,0.964945455415861
C1R6,1,2,5,95,Isolate1CFUFreqT0,0.0941728600979503
C1R6,1,2,50,50,Isolate1CFUFreqT0,0.663899936595769
C1R6,1,2,95,5,Isolate1CFUFreqT0,0.974046725685774
C1R6,1,3,5,95,Isolate1CFUFreqT0,0.101547045164366
C1R6,1,3,50,50,Isolate1CFUFreqT0,0.682283725299943
C1R6,1,3,95,5,Isolate1CFUFreqT0,0.976077575959987
C1R6,1,4,5,95,Isolate1CFUFreqT0,0.120276721331101
C1R6,1,4,50,50,Isolate1CFUFreqT0,0.72204468743182
C1R6,1,4,95,5,Isolate1CFUFreqT0,0.980141516224302
C1R6,1,5,5,95,Isolate1CFUFreqT0,0.0737992055317141
C1R6,1,5,50,50,Isolate1CFUFreqT0,0.602213329759329
C1R6,1,5,95,5,Isolate1CFUFreqT0,0.966402698651159
C1R6,2,3,5,95,Isolate1CFUFreqT0,0.0541219061826318
C1R6,2,3,50,50,Isolate1CFUFreqT0,0.520878928477633
C1R6,2,3,95,5,Isolate1CFUFreqT0,0.953823308556145
C1R6,2,4,5,95,Isolate1CFUFreqT0,0.0647345809364305
C1R6,2,4,50,50,Isolate1CFUFreqT0,0.568051118210863
C1R6,2,4,95,5,Isolate1CFUFreqT0,0.961518756759834
C1R6,2,5,5,95,Isolate1CFUFreqT0,0.0387737775636171
C1R6,2,5,50,50,Isolate1CFUFreqT0,0.433882812098803
C1R6,2,5,95,5,Isolate1CFUFreqT0,0.935740724548978
C1R6,3,4,5,95,Isolate1CFUFreqT0,0.0598555639019465
C1R6,3,4,50,50,Isolate1CFUFreqT0,0.547441817604718
C1R6,3,4,95,5,Isolate1CFUFreqT0,0.958304758257214
