Community,Isolate1,Isolate2,InitialFrequency,FrequencyChange
AcrAss1,1,2,0.05,TRUE
AcrAss1,1,2,0.95,FALSE
AcrAss1,1,3,0.05,TRUE
AcrAss1,1,3,0.95,FALSE
AcrAss1,1,4,0.05,TRUE
AcrAss1,1,4,0.95,FALSE
AcrAss1,1,5,0.05,TRUE
AcrAss1,1,5,0.95,FALSE
AcrAss1,1,6,0.05,TRUE
AcrAss1,1,6,0.95,TRUE
AcrAss1,1,7,0.05,FALSE
AcrAss1,1,7,0.95,FALSE
AcrAss1,1,8,0.05,TRUE
AcrAss1,1,8,0.95,FALSE
AcrAss1,2,3,0.05,TRUE
AcrAss1,2,3,0.95,FALSE
AcrAss1,2,4,0.05,TRUE
AcrAss1,2,4,0.95,FALSE
AcrAss1,2,5,0.05,FALSE
AcrAss1,2,5,0.95,FALSE
AcrAss1,2,6,0.05,TRUE
AcrAss1,2,6,0.95,FALSE
AcrAss1,2,7,0.05,TRUE
AcrAss1,2,7,0.95,FALSE
AcrAss1,2,8,0.05,TRUE
AcrAss1,2,8,0.95,FALSE
AcrAss1,3,4,0.05,FALSE
AcrAss1,3,4,0.95,FALSE
AcrAss1,3,5,0.05,FALSE
AcrAss1,3,5,0.95,FALSE
AcrAss1,3,6,0.05,TRUE
AcrAss1,3,6,0.95,FALSE
AcrAss1,3,7,0.05,FALSE
AcrAss1,3,7,0.95,FALSE
AcrAss1,3,8,0.05,FALSE
AcrAss1,3,8,0.95,FALSE
AcrAss1,4,5,0.05,TRUE
AcrAss1,4,5,0.95,FALSE
AcrAss1,4,6,0.05,TRUE
AcrAss1,4,6,0.95,FALSE
AcrAss1,4,7,0.05,TRUE
AcrAss1,4,7,0.95,FALSE
AcrAss1,4,8,0.05,TRUE
AcrAss1,4,8,0.95,FALSE
AcrAss1,5,6,0.05,TRUE
AcrAss1,5,6,0.95,FALSE
AcrAss1,5,7,0.05,TRUE
AcrAss1,5,7,0.95,FALSE
AcrAss1,5,8,0.05,TRUE
AcrAss1,5,8,0.95,TRUE
AcrAss1,6,7,0.05,TRUE
AcrAss1,6,7,0.95,FALSE
AcrAss1,6,8,0.05,TRUE
AcrAss1,6,8,0.95,FALSE
AcrAss1,7,8,0.05,TRUE
AcrAss1,7,8,0.95,FALSE
RanAss1,1,2,0.05,FALSE
RanAss1,1,2,0.95,FALSE
RanAss1,1,3,0.05,FALSE
RanAss1,1,3,0.95,FALSE
RanAss1,1,4,0.05,FALSE
RanAss1,1,4,0.95,FALSE
RanAss1,1,5,0.05,
RanAss1,1,5,0.95,
RanAss1,1,6,0.05,FALSE
RanAss1,1,6,0.95,FALSE
RanAss1,1,7,0.05,TRUE
RanAss1,1,7,0.95,FALSE
RanAss1,1,8,0.05,TRUE
RanAss1,1,8,0.95,FALSE
RanAss1,2,3,0.05,FALSE
RanAss1,2,3,0.95,FALSE
RanAss1,2,4,0.05,TRUE
RanAss1,2,4,0.95,TRUE
RanAss1,2,5,0.05,
RanAss1,2,5,0.95,
RanAss1,2,6,0.05,FALSE
RanAss1,2,6,0.95,FALSE
RanAss1,2,7,0.05,TRUE
RanAss1,2,7,0.95,TRUE
RanAss1,2,8,0.05,TRUE
RanAss1,2,8,0.95,TRUE
RanAss1,3,4,0.05,TRUE
RanAss1,3,4,0.95,TRUE
RanAss1,3,5,0.05,
RanAss1,3,5,0.95,
RanAss1,3,6,0.05,FALSE
RanAss1,3,6,0.95,FALSE
RanAss1,3,7,0.05,TRUE
RanAss1,3,7,0.95,TRUE
RanAss1,3,8,0.05,TRUE
RanAss1,3,8,0.95,TRUE
RanAss1,4,5,0.05,
RanAss1,4,5,0.95,
RanAss1,4,6,0.05,FALSE
RanAss1,4,6,0.95,FALSE
RanAss1,4,7,0.05,TRUE
RanAss1,4,7,0.95,FALSE
RanAss1,4,8,0.05,TRUE
RanAss1,4,8,0.95,TRUE
RanAss1,5,6,0.05,
RanAss1,5,6,0.95,
RanAss1,5,7,0.05,
RanAss1,5,7,0.95,
RanAss1,5,8,0.05,
RanAss1,5,8,0.95,
RanAss1,6,7,0.05,TRUE
RanAss1,6,7,0.95,TRUE
RanAss1,6,8,0.05,TRUE
RanAss1,6,8,0.95,TRUE
RanAss1,7,8,0.05,TRUE
RanAss1,7,8,0.95,TRUE
RanAss2,1,2,0.05,TRUE
RanAss2,1,2,0.95,TRUE
RanAss2,1,3,0.05,TRUE
RanAss2,1,3,0.95,FALSE
RanAss2,1,4,0.05,TRUE
RanAss2,1,4,0.95,FALSE
RanAss2,1,5,0.05,TRUE
RanAss2,1,6,0.05,TRUE
RanAss2,1,7,0.05,TRUE
RanAss2,1,8,0.05,TRUE
RanAss2,2,3,0.05,FALSE
RanAss2,2,3,0.95,FALSE
RanAss2,2,4,0.05,TRUE
RanAss2,2,4,0.95,FALSE
RanAss2,2,5,0.05,TRUE
RanAss2,2,6,0.05,FALSE
RanAss2,2,7,0.05,TRUE
RanAss2,2,8,0.05,FALSE
RanAss2,3,4,0.05,TRUE
RanAss2,3,4,0.95,FALSE
RanAss2,3,5,0.05,TRUE
RanAss2,3,6,0.05,TRUE
RanAss2,3,7,0.05,TRUE
RanAss2,3,8,0.05,TRUE
RanAss2,4,5,0.05,TRUE
RanAss2,4,6,0.05,TRUE
RanAss2,4,7,0.05,TRUE
RanAss2,4,8,0.05,TRUE
